eth0.1,4096,30065,172,9.95,99,0
eth0.5,4096,30065,184,9.95,99,0
eth1.2,4096,30065,187,9.95,99,0
eth1.6,4096,30065,177,9.95,99,0
eth2.3,4096,30065,188,9.95,99,0
eth2.7,4096,30065,178,9.95,99,0
eth3.4,4096,30065,188,9.95,99,0
eth3.8,4096,30065,178,9.95,99,0
eth0.1,4096,30079,252,9.95,99,0
eth0.5,4096,30079,257,9.95,99,0
eth1.2,4096,30079,267,9.95,99,0
eth1.6,4096,30079,251,9.95,99,0
eth2.3,4096,30079,267,9.95,99,0
eth2.7,4096,30079,252,9.95,99,0
eth3.4,4096,30079,268,9.95,99,0
eth3.8,4096,30079,251,9.95,99,0
eth0.1,4096,30077,447,9.96,99,0
eth0.5,4096,30077,520,9.96,99,0
eth1.2,4096,30077,462,9.96,99,0
eth1.6,4096,30077,514,9.96,99,0
eth2.3,4096,30077,462,9.96,99,0
eth2.7,4096,30077,514,9.96,99,0
eth3.4,4096,30077,463,9.96,99,0
eth3.8,4096,30077,514,9.96,99,0
eth0.1,8192,30041,407,9.95,198,0
eth0.5,8192,30041,441,9.95,198,0
eth1.2,8192,30041,422,9.95,198,0
eth1.6,8192,30041,432,9.95,198,0
eth2.3,8192,30041,422,9.95,198,0
eth2.7,8192,30041,433,9.95,198,0
eth3.4,8192,30041,423,9.95,198,0
eth3.8,8192,30041,432,9.95,198,0
eth0.1,4096,61131,310,9.96,201,0
eth0.5,4096,61131,316,9.96,201,0
eth1.2,4096,61131,327,9.96,201,0
eth1.6,4096,61131,309,9.96,201,0
eth2.3,4096,61131,327,9.96,201,0
eth2.7,4096,61131,310,9.96,201,0
eth3.4,4096,61131,328,9.96,201,0
eth3.8,4096,61131,309,9.96,201,0
eth0.1,8192,30049,242,9.95,198,0
eth0.5,8192,30049,253,9.95,198,0
eth1.2,8192,30049,258,9.95,198,0
eth1.6,8192,30049,243,9.95,198,0
eth2.3,8192,30049,259,9.95,198,0
eth2.7,8192,30049,245,9.95,198,0
eth3.4,8192,30049,259,9.95,198,0
eth3.8,8192,30049,243,9.95,198,0
eth0.1,8192,44173,327,9.95,291,0
eth0.5,8192,44173,359,9.95,291,0
eth1.2,8192,44173,345,9.95,291,0
eth1.6,8192,44173,350,9.95,291,0
eth2.3,8192,44173,345,9.95,291,0
eth2.7,8192,44173,350,9.95,291,0
eth3.4,8192,44173,346,9.95,291,0
eth3.8,8192,44173,349,9.95,291,0
eth0.1,8192,45580,311,9.95,300,0
eth0.5,8192,45580,331,9.95,300,0
eth1.2,8192,45580,328,9.95,300,0
eth1.6,8192,45580,322,9.95,300,0
eth2.3,8192,45580,329,9.95,300,0
eth2.7,8192,45580,322,9.95,300,0
eth3.4,8192,45580,329,9.95,300,0
eth3.8,8192,45580,321,9.95,300,0
eth0.1,8192,45594,273,9.98,299,0
eth0.5,8192,45594,272,9.98,299,0
eth1.2,8192,45594,291,9.98,299,0
eth1.6,8192,45594,263,9.98,299,0
eth2.3,8192,45594,291,9.98,299,0
eth2.7,8192,45594,264,9.98,299,0
eth3.4,8192,45594,292,9.98,299,0
eth3.8,8192,45594,262,9.98,299,0
eth0.1,8192,61111,309,9.95,402,0
eth0.5,8192,61111,327,9.95,402,0
eth1.2,8192,61111,327,9.95,402,0
eth1.6,8192,61111,318,9.95,402,0
eth2.3,8192,61111,327,9.95,402,0
eth2.7,8192,61111,319,9.95,402,0
eth3.4,8192,61111,328,9.95,402,0
eth3.8,8192,61111,317,9.95,402,0
eth0.1,8192,61125,255,9.98,401,0
eth0.5,8192,61125,266,9.98,401,0
eth1.2,8192,61125,273,9.98,401,0
eth1.6,8192,61125,257,9.98,401,0
eth2.3,8192,61125,274,9.98,401,0
eth2.7,8192,61125,258,9.98,401,0
eth3.4,8192,61125,274,9.98,401,0
eth3.8,8192,61125,256,9.98,401,0
eth0.1,8192,61101,331,9.95,402,0
eth0.5,8192,61101,340,9.95,402,0
eth1.2,8192,61101,348,9.95,402,0
eth1.6,8192,61101,331,9.95,402,0
eth2.3,8192,61101,349,9.95,402,0
